Course Code,Course Title,Credits,Prerequisites,Co-requisites,Description,Learning Outcomes
ED 407,Teaching Elementary Mathematics (P-6),3,ED 306.,,This course involves the use of discovery and problem -solving approaches as a means of developing mathematical understanding in early childhood/elementary school children. The metric system is also introduced in this course.,Demonstrate understanding of key concepts in Teaching Elementary Mathematics (P-6); Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
ED 408,Teaching Elementary Social Studies (P-6),3,,,"This course consists of objectives, content, and procedures for teaching the relationship between man and his environment. Emphasis is placed on problem -solving skills and independent investigation. Prerequis ite: ED 306.",Demonstrate understanding of key concepts in Teaching Elementary Social Studies (P-6); Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
ED 409,Teaching Beginning Reading and Phonics (P -6),3,,,"This course consists of various approaches to teaching beginning reading, including the language experience and phonics techniques; reading readiness activities; word -attack skills, the use of context clues, and individual reading programs to serve special individual and group needs.",Demonstrate understanding of key concepts in Teaching Beginning Reading and Phonics (P -6); Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
ED 412,Teaching Reading in Content Areas,3,Acceptance to TEP. Total Hours: 18 Summer Semester,,"The course includes materials and methods of teaching reading through science, English, social science, and mathematics.",Demonstrate understanding of key concepts in Teaching Reading in Content Areas; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
ED 413,Diagnostic- Prescriptive Teaching of Reading (P -6),3,"ED 409 MAED 307. Mathematics for Education Maj ors III: Geometry, Measurement, & Data Analysis 3 Credit Hours Course Three of four concentrated learning experiences for elementary teacher candidates that develop their deep knowledge of elementary mathematics content in geometry, measurement, and data analysis. Should be taken last semester of junior year. Field experience required.",,"Both individual and group testing and treatment programs are covered in this course. Guided practice in applying principles in designing and conducting tests and teaching strategies are also covered, and case studies are required.",Demonstrate understanding of key concepts in Diagnostic- Prescriptive Teaching of Reading (P -6); Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
ED 420,Materials and Methods of Teaching Mathematics,1,Acceptance in TEP,Must take concurrently with ED 400.,"This course is designed to acquaint secondary teacher education candidates with theories, methods of teaching in grade 6-12, and critical evaluation and selection of materi als specific to mathematics while working with a ""highly qualified teacher.""",Demonstrate understanding of key concepts in Materials and Methods of Teaching Mathematics; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
ED 421,Materials and Methods of Teaching Science,1,Acceptance in TEP,Must take concurrently with ED 400.,,Demonstrate understanding of key concepts in Materials and Methods of Teaching Science; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
ED 423,Materials and Methods of Teaching Social Studies,1,Acceptance in TEP,Must take concurrently with ED 400. ● HI History Elective 3 Credit Hours ● HI History Elective 3 Credit Hours,"This course is designed to acquaint secondary teacher education candidates with theories, methods of teaching in grades 6- 12, and critical evaluation and selection of materials specific to social studies while working with a ""highly qualified teacher.""",Demonstrate understanding of key concepts in Materials and Methods of Teaching Social Studies; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
ED 424,Materials and Methods of Teaching English/Language Arts,1,Acceptance in TEP,Must take concurrently with ED 400.,"This course is designed to acquaint secondary teacher education candidates with theories, methods of teaching in grades 6- 12, and critical evaluation and selection of materials specific to Language Arts while working with a ""highly qualified teacher.""",Demonstrate understanding of key concepts in Materials and Methods of Teaching English/Language Arts; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
ED 440,Field Studies in Early Childhood Education,3,"MA 101, MAED 107, MAED 207, MAED 307",,"This course is designed to afford students an opportunity to observe and evaluate a number of programs for young children in corporate, private, community and church-housed programs. Students will gain experience in evaluating programs using the guidelines established by the national accreditation organization for early childhood programs. Sixty (60) classroom observation hours are required for this course. Offered Fall semes ter only. MAED 407. Mathematics for Education Majors III: Geometry, Measurement, & Data Analysis 3 Credit Hours Course Four of four concentrated learning experiences for elementary teacher candidates that develop their deep knowledge of elementary mathematics content, focused on the areas of number operations and algebraic thinking. Should be taken during the senior year in the semester prior to internship. Field experience",Demonstrate understanding of key concepts in Field Studies in Early Childhood Education; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills; Enhance written and oral communication abilities
ED 445,Evaluations and Measurements in Education,3,,,"The evaluation of teaching and learning includes the developing appropriate skills for designing the evaluation process; using measurement procedures to collect necessary data; and employing the appropriate statistical procedures to interpret the resulting information. The student should learn to use this information in making judgments or evaluations about effecti ve teaching styles and learner outcomes. Specifically, the course helps candidates develop those skills which early childhood/elementary and secondary teachers need to engage in formative and summative evaluation to improve learning and instruction. Prere quisite: Acceptance in TEP.",Demonstrate understanding of key concepts in Evaluations and Measurements in Education; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
ED 448,Classroom Management,3,,,This course is designed to provide in-depth skill development in organizing the classroom for instruction. It will include suggested ways to work with early childhood/elementary and secondary students to create learning environments and to develop effective classroom instructional practices. Prereq uisite: Acceptance in TEP for secondary education majors.,Demonstrate understanding of key concepts in Classroom Management; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
ED 449,Senior Seminar,1,Acceptance in TEP. Passed all PRAXIS examinations required for major. Division Chair's signature required to register.,Must be taken concurrently with ED 450.,This course is required for all Education majors in the last semester of their senior year.,Demonstrate understanding of key concepts in Senior Seminar; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
ED 450,Observation and Teaching,12,,"Must be taken concurrently with ED 449. Total Hours: 15 Total: 133 hours 242 | Page Music/Music Education- Instrumental, BME Freshman Year Fall Semester","This course is required for Early Childhood, Elementary Education and Secondary Education majors during their senior year. It is the culmination of various courses and activities in education in which applications of sound principles of psychology and education are expected. The stud ent participates for the entire semester in a classroom teaching - learning environment. These experiences consist of (1) directed observation of teaching; (2) teaching under observation; (3) conferences with supervising teachers and principals; (4) plannin g lessons; (5) creating units; (6) diagnosing difficulties; (7) making monthly reports; (8) assisting with extracurricular activities; (9) working with community agencies; and (10) discussing and examining timely problems and issues in education. Prerequi site: Acceptance in TEP. Passed all PRAXIS examinations required for major. Division Chair's signature required to register.",Demonstrate understanding of key concepts in Observation and Teaching; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
EN 101,English Composition I,3,A 'C' or above in English 100 or a satisfactory score on placement tests.,,A selection of essays is used. Students also study a novel and write essays in a variety of rhetorical modes. Those who need assistance with special problems may receive help in the Center for Writing Acr oss Miles.,Demonstrate understanding of key concepts in English Composition I; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
EN 101H,English Composition I Honors,3,,,"Students in this course review the fundamentals of grammar and improve critical reading and writing skills. Through a variety of readings, both fiction and non-fiction, they explore various modes of academic writing. They also master the basic principles of essay construction, become familiar with at least three patterns of essay development, and post to online forums.",Demonstrate understanding of key concepts in English Composition I Honors; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
EN 102,English C omposition II,3,The passing grade is 'C' or above in EN 101.,,Students will write essays in several rhetorical modes and will write a researched essay. They will also study a novel. Fundamentals of grammar mastery expected. The passing grade is 'C' or above. Students may receive help in the Center for Writing Across Miles.,Demonstrate understanding of key concepts in English C omposition II; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills; Enhance written and oral communication abilities
EN 102H,"English Composition II Honors English 102 is designed to help students develop skills in writing essays and research papers. The course continues the emphasis on reading and writing begun in English 101. When students enroll in English 102, they are expected to have mastered the basic principles of essay construction and to be familiar with at least three patterns of essay development. English 102 students will 548 | Page receive further instruction and opportunities to work with new rhetorical modes. They will read designated essays and short stories and post to online forums; they will also use their reading and writing skills to produce a research paper. The passing grade for EN 102 is a 'C' or above. EN 201 - Introduction to Literature",3,EN 102.,,"Basic skills for understanding literature are introduced, and concepts which are required for reading, analyzing, and interpr eting literature are taught. A wide variety of selections representative of the several literary genres will be used.","Demonstrate understanding of key concepts in English Composition II Honors English 102 is designed to help students develop skills in writing essays and research papers. The course continues the emphasis on reading and writing begun in English 101. When students enroll in English 102, they are expected to have mastered the basic principles of essay construction and to be familiar with at least three patterns of essay development. They will read designated essays and short stories and post to online forums; they will also use their reading and writing skills to produce a research paper. The passing grade for EN 102 is a 'C' or above. EN 201 - Introduction to Literature; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills"
EN 201,Introduction to Literature,3,,,"Basic skills for understanding literature are introduced, and concepts which are required for reading, analyzing, and interpreting literature are taught. A wide variety of selections representative of the several literary genres will be used. Prerequis ite: EN 102. or",Demonstrate understanding of key concepts in Introduction to Literature; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
EN 202,World Masterpieces,3,,,"Students read selected writings by major world authors. Basic skills for understanding literature are introduced, and concepts which are required for reading, analyzing, and interpreting literature are taught. Prerequis ite: EN 102.",Demonstrate understanding of key concepts in World Masterpieces; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
EN 205,Introduction to the Major,3,EN 102.,,"Designed for English majors, this course is an introduction to the history, theory, and practice of English as a discipline. It is required of all major s. It introduces students to current trends in English studies, including critical approaches, research methods, and specialized terminology necessary for success in the major and the field. Students also become familiar with the periods of literary histor y and the various genres of literature. English majors are strongly encouraged to take EN 205 during the second semester of the sophomore year. Minimum grade of ""C"" required.",Demonstrate understanding of key concepts in Introduction to the Major; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills; Enhance written and oral communication abilities
EN 240H,Comparative Modern Literature -Honors,3,EN 102,,Students taking this course will examine literature from Western and non-Western cultures reflecting a variety of genres and literary periods.,Demonstrate understanding of key concepts in Comparative Modern Literature -Honors; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
EN 261,American Literature I,3,EN 201 or EN 202. 214 | Page,,Students explore selected works of major American writers from 1603 to 1860.,Demonstrate understanding of key concepts in American Literature I; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
EN 262,Ameri can Literature II,3,EN 201 or EN 202.,,,Demonstrate understanding of key concepts in Ameri can Literature II; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
EN 301,Grammar and Linguistics,3,EN 102.,,"This course involves study of the structure, history, and mechanics of the English language. Although the approach is largely traditional, reference is also made to principles of transformational grammar.",Demonstrate understanding of key concepts in Grammar and Linguistics; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
EN 305,Advanced Composition,3,EN 102.,,"Students gain intensive practice in writing the various types of prose, based on analysis of the structure, language, and rhetoric of selected works.",Demonstrate understanding of key concepts in Advanced Composition; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills; Enhance written and oral communication abilities
EN 306,Research and Methods,3,,,"English 306 provides an overview of query strategies using standard sources of modern literary research. Web -based, subscription journals and bibliographical resources as well as print -based materials are included as research targets. Prerequis ite: EN 102.",Demonstrate understanding of key concepts in Research and Methods; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills; Enhance written and oral communication abilities
EN 310,Grammar and Linguistics,3,,,,Demonstrate understanding of key concepts in Grammar and Linguistics; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
EN 320,Creative Writing 213 | Page,3,,,"Students learn to write poetry and short stories in this introductory course in creative writing. Other literary forms may also be considered, depending on time and interest.",
EN 351,Shakespeare,3,,,"This course is a study of Shakespeare's major comedies, chronicles, and tragedies, as well as a brief treatment of Shakespeare's life and the Elizabethan stage. It also covers sonnets that are representative of Shakespeare's short verse. Prerequisit e: EN 201 or EN 202.",Demonstrate understanding of key concepts in Shakespeare; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
EN 352,English Renaissance Drama,3,EN 201 or EN 202. 267 | Page,,"Students in this course will read some of the English dramas of the sixteenth and seventeenth centuries, excluding Shakespeare. The course will also focus on the fundamental characteristics of dramatic form as well as the dramatic peculiarities of theatrical producti on in the period.",Demonstrate understanding of key concepts in English Renaissance Drama; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
EN 355,Modernism,3,EN 201 or EN 202.,,"This course presents American and British writers of the early 20th century and the theory behind modem art. Poetry, prose, drama, visual art, and music are considered so that students may evaluate th e modern period and its influence on the postmodern.",Demonstrate understanding of key concepts in Modernism; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
EN 365,African -American Literature I,3,E N 201 or EN 202.,,"This course presents an intensive analysis of t he works of major Black writers in terms of their sociopolitical thought, their role in the development of modem African- American literature, and their place in American and Western literary history from 1760 through the Harlem Renaissance.",Demonstrate understanding of key concepts in African -American Literature I; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills; Enhance written and oral communication abilities
EN 366,African -American Literature II,3,EN 201 or EN 202.,,Students in this course will examine works by major Black voices of the 20th century from the Harlem Renaissance to the present.,Demonstrate understanding of key concepts in African -American Literature II; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
EN 370,Jewish -American Literature,3,EN 102,,This course examines the development of Jewish- American literature and the Jewish experien ce as it is reflected in this literature. The course will focus on the issues raised by Jewish -American literature and its writers.,Demonstrate understanding of key concepts in Jewish -American Literature; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
EN 372,The Short Story,3,EN 201 or EN 202.,,Students learn about the development of the short story as an art form by reading and analyzing stories by 19th and 20th century writers.,Demonstrate understanding of key concepts in The Short Story; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
EN 375,Drama,3,EN 201 or EN 202.,,"This course presents a comprehensive, in- depth study of the dramatic form. The literature for the course ranges from Greek drama to the Theater of the Absurd. A large number of plays are considered in order that students may have a broad base of reference for critical evaluation.",Demonstrate understanding of key concepts in Drama; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
EN 380,African -American Contemporary Writers from 1970- Present,3,Junior/Senior level.,,"This course concentrates specifically on selected works that explore the human conditions presented in diversely rich selections of historical romance, avant -garde comedy and satire; fantasy and science fiction; detective stories, myst eries written in novels; short stories and/or drama forms.",Demonstrate understanding of key concepts in African -American Contemporary Writers from 1970- Present; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
EN 382,Major Writers,3,,,18 Spring Semester,Demonstrate understanding of key concepts in Major Writers; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
EN 390,Poetry,3,EN 102,,"This course presents a study of representative forms, authors, and approaches to poetry.",Demonstrate understanding of key concepts in Poetry; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
EN 400,African Am erican Autobiography 268 | Page,3,Junior/Senior level.,,"This course will survey the evolution of African American autobiography. It will analyze autobiographies within historical context and explore the variety of forms such as memoir, diaries and others used by the authors.",
EN 401,British Literature I,3,EN 201 or EN 202.,,This course surveys significant British works from the Anglo -Saxon period through 1789.,Demonstrate understanding of key concepts in British Literature I; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
EN 402,British Literature II,3,EN 201 or EN 202.,,,Demonstrate understanding of key concepts in British Literature II; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
EN 403,Comparative Analysis of Literary Works,3,Junior/Senior level.,,"This course attends to a thematic comparison of fictional and/or non-fictional works. History, language, mythology, and religion will undergird the exploration of belief systems anchored by cultures portrayed in the works that will be studied.",Demonstrate understanding of key concepts in Comparative Analysis of Literary Works; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
EN 404,Comparative Africana Literature,3,Junior/Senior level.,,"This course attends to a thematic comparison of the fictional and non- fictional works written by Africans and Afric an Americans through selected readings. History, language, mythology and religion will undergird the exploration of belief systems anchored by cultures portrayed in the works that will be studied.",Demonstrate understanding of key concepts in Comparative Africana Literature; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
EN 439,The Novel,3,,,This course presents an in-depth study of this comparatively new genre of literature. Students are introduced to the historical development of the novel and its relationship to its several predecessors in other literary forms. Relevant literary criticism provides a stimulus for discussion and ideas for writing critical analyses. Prerequisit e: EN 201 or EN 202.,Demonstrate understanding of key concepts in The Novel; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
EN 449,Senior Seminar,3,Senior Standing. ● EN English Elective 3 Credit Hours ● EN English Elective 3 Credit Hours Total Hours: 12 Total: 120 hours English Major Electives Fall Offerings,,"This course serves as a comprehensive examination of students by requiring an application of language and literary skills to written and or al projects, including reports, reviews, research papers, and discussions.",Demonstrate understanding of key concepts in Senior Seminar; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills; Enhance written and oral communication abilities
EN 451,Literary Criticism,3,EN 201 or EN 202.,,"This course explores theoretical and practical criticism, and precepts of the major critics are applied to literary materials.",Demonstrate understanding of key concepts in Literary Criticism; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
EN 460,Topics in Literature,3,EN 20 1 or EN 202.,,This course is designed to address a selected literary concentration and/or contemporary issue.,Demonstrate understanding of key concepts in Topics in Literature; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
EN 460H,Topics in Literature,3,,,This course addresses a selected literary concentration and/or contemporary issue.,Demonstrate understanding of key concepts in Topics in Literature; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
EN 490,Internship 275 | Page,4,Junior standing. ● EN English Elective 3 Credit Hours Total Hours: 16 Spring Semester,,"English majors are required to take this course in t heir junior or senior year. It is designed for the students to use their skills in practical, hands -on situations. It is highly recommended that the students do their internships in the Center for Writing Across Miles. Students who do not intern in our wri ting center must make sure their internships involve supervised writing or writing -related tasks and must have their proposed positions approved by the Internship Coordinator. All interns will submit journals and/or writing assignments according to instruc tions from the Internship Coordinator.",
ES 105,Soil Science,3,,,●,Demonstrate understanding of key concepts in Soil Science; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
ES 105L,Soil Science Lab,1,,,,Demonstrate understanding of key concepts in Soil Science Lab; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
ES 200,Principles of Geology,3,BY 101.,ES 201L,"This course provides an introduction to geology, with emphasis on geological materials and processes. It also considers historical geology. Three lecture hours and a one hour and twenty -minute laboratory per week. Three lecture hours and a two -hour laboratory per week.",Demonstrate understanding of key concepts in Principles of Geology; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
ES 200L,Principles of Geology Lab,1,MA 111.,,Lab component to accompany corresponding course.,Demonstrate understanding of key concepts in Principles of Geology Lab; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
ES 300,Scientific Writing,3,EN 102,,"This course will teach introduction, organization and graphical presentation of scientific data. Students will be instructed in preparing, writing, and editing for scientific presentations, journals, manuscripts, and reports.",Demonstrate understanding of key concepts in Scientific Writing; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
ES 305,Soil Science,3,,ES 305L 470 | Page or,This course is designed to give basic information to help students appreciate soil as an indispensable natural resource; it teaches how soil can be used an d managed for mankind.,Demonstrate understanding of key concepts in Soil Science; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
ES 305L,Soil Science Lab,1,,,Lab component to accompany corresponding course.,Demonstrate understanding of key concepts in Soil Science Lab; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
ES 315,Principles of Biore mediation,3,,,,Demonstrate understanding of key concepts in Principles of Biore mediation; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
ES 321,Environmental Science,3,BY 101.,,"This course explores the relationship between individual organisms and their environment; the structure and function of populations, communities, and ecosystems; and computer usage in data analysis and report writing. Three lecture hours and a two -hour laboratory per week.",Demonstrate understanding of key concepts in Environmental Science; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills; Enhance written and oral communication abilities
ES 321L,Environmental Science Lab,1,,,15 Spring Semester,Demonstrate understanding of key concepts in Environmental Science Lab; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
ES 324,Environmental Analysis,3,"CH 303 or CH 304, or special permission from coordinator in consultation with chairperson; Junior standing.",ES 324L,"The objective of this course is to expose students to the study of principles and application of chemical and instrumental methods employed in the analysis of soil, water, plant and air samples for environmental purposes. Three lecture hours and a two- hour laboratory per week.",Demonstrate understanding of key concepts in Environmental Analysis; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills; Enhance written and oral communication abilities
ES 324L,Environmental Analysis Lab,1,,,Lab component to accompany corresponding course.,Demonstrate understanding of key concepts in Environmental Analysis Lab; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
ES 340,Principles Global Positioning Systems (GPS) and Geographical Information Systems (GIS),3,ES 321. 451 | Page,,"This course teaches the principles of GPS and GIS, detailing how the y are applied in environmental and natural resource inventories and management. Students learn major components of GIS systems such as raster, vector data, data input, verification, spatial analyses and modeling, as well as methods of classification interp olation.",Demonstrate understanding of key concepts in Principles Global Positioning Systems (GPS) and Geographical Information Systems (GIS); Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
ES 400,General Ecology,3,"ES 321, MA 217; written permission of instructor.",ES 400L,"This course explores relationships between individual organisms and their environment; the structure an d function of populations, communities, and ecosystems; and computer usage in data analysis and report writing. Three lecture hours and a two-hour laboratory per week.",Demonstrate understanding of key concepts in General Ecology; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills; Enhance written and oral communication abilities
ES 400L,General Ecology Lab,1,,,Lab component to accompany corresponding course.,Demonstrate understanding of key concepts in General Ecology Lab; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
ES 404,Environmental Laws,3,ES 321 and junior standing or permission of the coordinator.,,The course is designed to give the student an understanding of government regulations that seek to insure the quality of the environment and the safety of the work place. It includes the study of natural laws and interactions between various species in an ecosystem.,Demonstrate understanding of key concepts in Environmental Laws; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
ES 415,Principles of Bioremediation,3,BY 205; Sophomore standing.,,The objective of this course is to introduce students to the applications of bioremediation.,Demonstrate understanding of key concepts in Principles of Bioremediation; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
ES 430,Environmental Science Internship,3,Junior standing or permission of the coordinator. Cognates: 37 hours,,"The student will work at a remote facility to gain experience in the field. To be eligible for internship, a student must complete all other course requirements in the Environmental Science combined major/minor pattern and apply through the Environmental Science Coordinator for the internship, which lasts approximately eight weeks. The grade is based upon a written report submitted by the student and an evaluation submitted by the Intern Site Director .",Demonstrate understanding of key concepts in Environmental Science Internship; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
ES 449,Senior Seminar,2,Senior standing.,,,Demonstrate understanding of key concepts in Senior Seminar; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills; Enhance written and oral communication abilities
ES 450,Research,3,,,Students conduct research in a specific area of environmental science under faculty supervision. Permission of instructor required. or,Demonstrate understanding of key concepts in Research; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills; Enhance written and oral communication abilities
ES 451,Research,3,,,Students conduct research in a specific area of environmental science under faculty supervision. Permission of instructor required. FRENCH,Demonstrate understanding of key concepts in Research; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills; Enhance written and oral communication abilities
ES 460,Special Topics,3,,,Environmental Science Paradigm Freshman Year Fall Semester,Demonstrate understanding of key concepts in Special Topics; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
FR 101,Elementary French I,3,,,"This course is a basic introduction to the French language and culture. Oral skills are stressed, along with reading, writing, and grammar.",Demonstrate understanding of key concepts in Elementary French I; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
FR 102,Elementary French II,3,FR 101.,,"This course continues to build skills of the French language. Oral skills are stressed, along with reading, writing, and grammar.",Demonstrate understanding of key concepts in Elementary French II; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
FR 201,Intermediate French I,3,FR 102.,,"This course further develops speaking, listening, reading, and writing skills in French. It also increases students' knowledge of French -speaking cultures.",Demonstrate understanding of key concepts in Intermediate French I; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
FR 202,Intermediate French II,3,FR 201. FIRST YEAR ACADEMY,,"Students in this course continue to develop their speaking, listening, reading, and writing skills in French and their knowledge of French -speaking cultures.",Demonstrate understanding of key concepts in Intermediate French II; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
FYA 101,Orientation to the Academy -1 Credit Hour Academic Foundations Course Descriptions: EN 100 (English Fundamentals):,1,,,"Academic Foundations Course Descriptions: EN 100 (English Fundamentals): 3 Credit Hours. This course is a fundamental course designed to advance the student’s ability to communicate his or her thinking in clear, cogent written expression conforming to the rules of Standard American English, with a partic ular focus on grammatical and mechanical accuracy. This course is for institutional credit only and is not open to students who have completed EN 101 and received a passing grade. Specifically, the course provides instruction, training, and practice in the following: A. the writing process, from prewriting through final editing C. basic patterns of structure and development of both paragraphs and essays D. analytical and critical reading, as students evaluate their own work as well as others’ REA 100 (College Reading): 3 Credit Hours. This Fundamental Reading course is to prepare students that need additional support to transition into college level courses. This class will equip students with Literacy Strateg ies that will enhance comprehension across the curriculum. This course will provide students with the necessary tools to reach their full academic potential. MA 100 (Elementary Algebra): 3 Credit Hours . This course is designed to develop a solid foundati on in algebra, knowledge and abilities required for potential success in learning beginning college level algebraic concepts. FYA 101 (Orientation to the Academy): 1 Credit Hour. This is a one- hour course that is required for graduation . It is designed to retain new students and help them make a smooth transition to college life. It provides opportunities for students to develop the skills, values, behavior, and attitude necessary to be successful at Miles College. Emphasis is placed on the development and application of effective study habits, responsibilities of adult life, and career planning. The course will help students become an integral part of the academic community. Regardless of their program of study, all Miles College students must complete the general education core curriculum, which consists of 44 credit hours. The Miles College ge neral education core involves students in rigorous study of the liberal arts as preparation for work and lifelong learning, in the acquisition of verbal, technological, and cultural literacy, through the completion of courses in English composition, speech, humanities, mathematics, computer technology, natural sciences, history, economics and social and behavioral sciences. With this solid foundation in the liberal arts, the College aims to graduate students who seek holistic development that leads to intellectual, ethical, spiritual and service -oriented lives. Mission. The general education core helps students gain competence in communication skills; scientific and mathematical concepts; and the use of technology. It also helps them to understand how the following factors affect the current problems of our nation and world: socioeconomic and political conditions; historical events, and cultural diversity. In addition, students learn skills in interpersonal relationships, physical health, and mental health; they apply these skills to individuals and the community. Core Competencies . communications, critical thinking, global community awareness, technology, and interpersonal skills. Policies and Procedures. All sections of each general education course follow an identical syllabus and administer a common mid-term and final exam. Daily classroom activities and the order of assignments may vary, but all students are taught the same general education curriculum, irrespective of the section or instructor of the course. 1. Students must make qualifying scores on either the ACT or COMPASS test to take EN 101 and MA 101. If they do not qualify by testing, students must pass EN 100 (English Fundamentals) and MA 100 (Elementary Algebra) in order to take the course. 2. Students are encouraged to attend extracurricular enrichment events that support the learning outcomes. 3. Students must participate in required departmental and institutional assessments in order to complete general education requirements. Students, who have not declared a major at the time of enrollment (Undecided), are encouraged to follow the General Education Paradigm, taking courses in the suggested sequence. 5. Students, who have chosen a major program of study, should follow the sequence of general education courses outlined on their major paradigm. The General Education Curriculum credit hour requirements are distributed across the following seven distribution areas: Written Composition (6 credit hours) Humanities and Fine Arts (12 credit hours) Natural Sciences and Mathematics (7 credit hours) History, Social & Behavioral Sciences (12 credit hours) Health and Wellness (3 credit hours) Technology (3 credit hours) College Orientation (1 credit hour) General Education Paradigm Freshman Year Fall Semester",Demonstrate understanding of key concepts in Orientation to the Academy -1 Credit Hour Academic Foundations Course Descriptions: EN 100 (English Fundamentals):; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills; Enhance written and oral communication abilities
